received_packets,dropped_packets,rx_total_bytes,tx_total_bytes,rx_speed,tx_speed,throughput,packet_rate,packet_loss_rate,byte_rate,jitter,buffer_overruns,parse_errors,prediction,score
21703,0,96,75,2452463,481850,2934313,294.0,0.0,34.0,8484.0,0,0,0,0.03507448971060145
21997,0,130,151,2460947,486746,2947693,294.0,0.0,34.0,8484.0,0,0,0,0.04879998159438048
22295,0,170,228,2469674,491663,2961337,298.0,0.0,40.0,8727.0,0,0,0,0.05151880763840877
22483,0,100,23,2475180,494934,2970114,188.0,0.0,0.0,5506.0,0,0,1,-0.0033403014658400787
22692,0,51,74,2481287,498205,2979492,209.0,0.0,0.0,6107.0,0,0,0,0.0014865211030157255
22980,0,79,150,2489710,503101,2992811,288.0,0.0,28.0,8423.0,0,0,0,0.03307311711552463
23300,0,141,227,2499102,508018,3007120,320.0,0.0,62.0,9392.0,0,0,0,0.008123438119913895
23501,0,84,22,2504948,511289,3016237,201.0,0.0,0.0,5846.0,0,0,0,0.006116469090014176
23695,0,20,73,2510643,514560,3025203,194.0,0.0,0.0,5695.0,0,0,1,-0.008157114557894363
23996,0,61,149,2519450,519456,3038906,301.0,0.0,41.0,8807.0,0,0,0,0.038207279908883285
24285,0,92,226,2527881,524373,3052254,289.0,0.0,31.0,8431.0,0,0,0,0.04051718096620838
24476,0,25,21,2533453,527644,3061097,191.0,0.0,0.0,5572.0,0,0,1,-0.017214378361175897
24770,0,59,97,2542029,532540,3074569,294.0,0.0,34.0,8576.0,0,0,0,0.030453658536152894
25079,0,110,174,2551089,537457,3088546,309.0,0.0,51.0,9060.0,0,0,0,0.03309374643348484
25367,0,138,250,2559520,542353,3101873,288.0,0.0,28.0,8431.0,0,0,0,0.031960199569790126
25557,0,70,45,2564981,545624,3110605,190.0,0.0,0.0,5461.0,0,0,0,0.00107663560477822
25863,0,118,122,2573987,550541,3124528,306.0,0.0,48.0,9006.0,0,0,0,0.0392754541194239
26163,0,158,198,2582793,555437,3138230,300.0,0.0,40.0,8806.0,0,0,0,0.057158691967378106
26468,0,205,19,2591718,560354,3152072,305.0,0.0,47.0,8925.0,0,0,0,0.008315732418135546
26667,0,146,70,2597595,563625,3161220,199.0,0.0,0.0,5877.0,0,0,0,0.010114875228682374
26979,0,198,146,2606715,568521,3175236,312.0,0.0,52.0,9120.0,0,0,0,0.01602142009520624
27278,0,239,223,2615467,573438,3188905,299.0,0.0,41.0,8752.0,0,0,0,0.0254381360248096
27562,0,7,43,2623722,578334,3202056,284.0,0.0,0.0,8255.0,0,0,1,-0.01877543028054729
27859,0,46,120,2632508,583251,3215759,297.0,0.0,39.0,8786.0,0,0,0,0.027014253192755633
28145,0,72,196,2640923,588147,3229070,286.0,0.0,26.0,8415.0,0,0,0,0.04102686791432619
28438,0,107,17,2649419,593064,3242483,293.0,0.0,35.0,8496.0,0,0,0,0.028170488912892755
28638,0,49,68,2655295,596335,3251630,200.0,0.0,0.0,5876.0,0,0,0,0.0034065588420773008
28835,0,244,119,2661014,599606,3260620,197.0,0.0,195.0,5719.0,0,0,1,-0.06448179311743985
29118,0,11,195,2669181,604502,3273683,283.0,0.0,0.0,8167.0,0,0,0,0.007596515606520526
29321,0,212,246,2675133,607773,3282906,203.0,0.0,201.0,5952.0,0,0,1,-0.05272002227688688
29624,0,1,67,2684046,612690,3296736,303.0,0.0,0.0,8913.0,0,0,1,-0.01566693285009446
29829,0,204,118,2690025,615961,3305986,205.0,0.0,203.0,5979.0,0,0,1,-0.05227586317957422
30017,0,134,169,2695493,619232,3314725,188.0,0.0,0.0,5468.0,0,0,0,0.01646341577353394
30316,0,173,245,2704258,624128,3328386,299.0,0.0,39.0,8765.0,0,0,0,0.04847000986099448
30516,0,115,40,2710080,627399,3337479,200.0,0.0,0.0,5822.0,0,0,0,0.010426461303834511
30818,0,159,117,2718829,632316,3351145,302.0,0.0,44.0,8749.0,0,0,0,0.04478903601553952
31117,0,198,193,2727532,637212,3364744,299.0,0.0,39.0,8703.0,0,0,0,0.05410652408670291
31407,0,230,14,2735963,642129,3378092,290.0,0.0,32.0,8431.0,0,0,0,0.006173784067050825
31707,0,14,90,2744773,647025,3391798,300.0,0.0,0.0,8810.0,0,0,0,0.003429562787519602
32011,0,60,167,2753633,651942,3405575,304.0,0.0,46.0,8860.0,0,0,0,0.04153998769802858
32320,0,109,243,2762652,656838,3419490,309.0,0.0,49.0,9019.0,0,0,0,0.04489577468213235
32524,0,55,38,2768591,660109,3428700,204.0,0.0,0.0,5939.0,0,0,0,0.006720775092786124
32827,0,100,115,2777514,665026,3442540,303.0,0.0,45.0,8923.0,0,0,0,0.04887014041528126
33019,0,34,166,2783115,668297,3451412,192.0,0.0,0.0,5601.0,0,0,0,0.014271874823407416
33323,0,78,242,2791979,673193,3465172,304.0,0.0,44.0,8864.0,0,0,0,0.05330863995271029
33638,0,137,63,2801238,678110,3479348,315.0,0.0,59.0,9259.0,0,0,0,0.00651338489888742
33833,0,74,114,2806920,681381,3488301,195.0,0.0,0.0,5682.0,0,0,0,0.024632953121214718
34127,0,108,190,2815587,686277,3501864,294.0,0.0,34.0,8667.0,0,0,0,0.06403892714223725
34425,0,148,11,2824267,691194,3515461,298.0,0.0,40.0,8680.0,0,0,0,0.032949888867458754
34617,0,82,62,2829816,694465,3524281,192.0,0.0,0.0,5549.0,0,0,0,0.01695161824866298
34911,0,116,138,2838433,699361,3537794,294.0,0.0,34.0,8617.0,0,0,0,0.05836632980924111
35215,0,162,215,2847356,704278,3551634,304.0,0.0,46.0,8923.0,0,0,0,0.05187697527650459
35417,0,106,10,2853291,707549,3560840,202.0,0.0,0.0,5935.0,0,0,0,0.007757931739910573
35693,0,122,86,2861337,712445,3573782,276.0,0.0,16.0,8046.0,0,0,0,0.03127770840608435
36000,0,171,163,2870364,717362,3587726,307.0,0.0,49.0,9027.0,0,0,0,0.04163869078859217
36209,0,122,214,2876547,720633,3597180,209.0,0.0,0.0,6183.0,0,0,0,0.03174549616827993
36498,0,151,34,2884933,725529,3610462,289.0,0.0,29.0,8386.0,0,0,0,0.025014513203854838
36783,0,178,111,2893260,730446,3623706,285.0,0.0,27.0,8327.0,0,0,0,0.031038453235572305
36975,0,112,162,2898903,733717,3632620,192.0,0.0,0.0,5643.0,0,0,0,0.023873031498481523
37281,0,158,238,2907896,738613,3646509,306.0,0.0,46.0,8993.0,0,0,0,0.04169646981131114
37571,0,190,59,2916340,743530,3659870,290.0,0.0,32.0,8444.0,0,0,0,0.02631497098356106
37860,0,219,135,2924774,748426,3673200,289.0,0.0,29.0,8434.0,0,0,0,0.023940590759337854
38163,0,8,212,2933686,753343,3687029,303.0,0.0,0.0,8912.0,0,0,1,-0.0025046910517003695
38458,0,43,32,2942384,758239,3700623,295.0,0.0,35.0,8698.0,0,0,0,0.010640062880170054
38753,0,80,109,2951004,763156,3714160,295.0,0.0,37.0,8620.0,0,0,0,0.041101468660341256
39049,0,116,185,2959686,768052,3727738,296.0,0.0,36.0,8682.0,0,0,0,0.056516649997196966
33896,0,144,145,2510063,14983,2525046,0.0,0.0,28.0,449623.0,0,0,1,-0.013729103037774637
34107,0,97,196,2516303,18254,2534557,211.0,0.0,0.0,6240.0,0,0,0,0.045980020787049214
34305,0,37,247,2522050,21525,2543575,198.0,0.0,0.0,5747.0,0,0,0,0.025758406855171945
34599,0,72,68,2530663,26442,2557105,294.0,0.0,35.0,8613.0,0,0,0,0.039919193525391194
34805,0,20,119,2536666,29713,2566379,206.0,0.0,0.0,6003.0,0,0,0,0.008161702441412011
35094,0,52,195,2545164,34609,2579773,289.0,0.0,32.0,8498.0,0,0,0,0.03590108819706639
35393,0,93,16,2553926,39526,2593452,299.0,0.0,41.0,8762.0,0,0,0,0.026970415209487952
35595,0,35,67,2559816,42797,2602613,202.0,0.0,0.0,5890.0,0,0,0,0.004980077334337585
35897,0,79,143,2568558,47693,2616251,302.0,0.0,44.0,8742.0,0,0,0,0.043552161673161116
36192,0,114,220,2577274,52610,2629884,295.0,0.0,35.0,8716.0,0,0,0,0.06061721895578698
36397,0,61,15,2583208,55881,2639089,205.0,0.0,0.0,5934.0,0,0,0,0.004352514574883504
36692,0,98,90,2591844,60712,2652556,295.0,0.0,37.0,8636.0,0,0,0,0.03825186568493599
36982,0,186,168,2600343,65694,2666037,290.0,0.0,88.0,8499.0,0,0,1,-0.002255613489063002
37284,0,172,244,2609107,70590,2679697,302.0,0.0,0.0,8764.0,0,0,0,0.0164155149723888
37593,0,221,65,2618162,75507,2693669,309.0,0.0,49.0,9055.0,0,0,1,-0.0014186379608840394
37802,0,172,116,2624309,78778,2703087,209.0,0.0,0.0,6147.0,0,0,0,0.0025497848720396066
38011,0,124,167,2630422,82049,2712471,209.0,0.0,0.0,6113.0,0,0,0,0.019461723812664977
38301,0,155,243,2638889,86945,2725834,290.0,0.0,31.0,8467.0,0,0,0,0.03172228131406307
38498,0,94,38,2644626,90216,2734842,197.0,0.0,0.0,5737.0,0,0,0,0.005058020035001554
38810,0,146,115,2653790,95133,2748923,312.0,0.0,52.0,9164.0,0,0,0,0.01259134016208574
38992,0,205,166,2659083,98404,2757487,182.0,0.0,59.0,5293.0,0,0,1,-0.022581592895775104
39296,0,116,242,2667998,103300,2771298,304.0,0.0,0.0,8915.0,0,0,0,0.0278291622774679
39580,0,142,63,2676332,108217,2784549,284.0,0.0,26.0,8334.0,0,0,0,0.016690238940991975
39881,0,183,139,2685114,113113,2798227,301.0,0.0,41.0,8782.0,0,0,0,0.03229502771562365
40169,0,211,216,2693607,118030,2811637,288.0,0.0,28.0,8493.0,0,0,0,0.016776477910607324
40458,0,242,36,2701999,122926,2824925,289.0,0.0,31.0,8392.0,0,0,1,-0.015881519788236376
40752,0,21,113,2710577,127778,2838355,294.0,0.0,0.0,8578.0,0,0,1,-0.006166943511950906
40955,0,223,164,2716486,131114,2847600,203.0,0.0,202.0,5909.0,0,0,1,-0.06238403209736243
41247,0,255,240,2725147,136010,2861157,292.0,0.0,32.0,8661.0,0,0,1,-0.001184684058801233
41545,0,37,61,2733765,140927,2874692,298.0,0.0,0.0,8618.0,0,0,1,-0.003336405187886138
41743,0,233,112,2739597,144198,2883795,198.0,0.0,196.0,5832.0,0,0,1,-0.06380932134254524
41920,0,154,163,2744740,147469,2892209,177.0,0.0,0.0,5143.0,0,0,1,-0.0016016748372814638
42223,0,197,239,2753631,152365,2905996,303.0,0.0,43.0,8891.0,0,0,0,0.03315056320865217
42399,0,115,34,2758690,155636,2914326,176.0,0.0,0.0,5059.0,0,0,1,-0.011812709322495896
42703,0,159,111,2767577,160553,2928130,304.0,0.0,44.0,8887.0,0,0,0,0.028580397879208075
42906,0,105,162,2773572,163824,2937396,203.0,0.0,0.0,5995.0,0,0,0,0.01633947527640356
43197,0,137,238,2782075,168720,2950795,291.0,0.0,32.0,8503.0,0,0,0,0.035782605823808544
43494,0,176,59,2790722,173637,2964359,297.0,0.0,39.0,8647.0,0,0,0,0.0188862452540296
43679,0,101,110,2796050,176908,2972958,185.0,0.0,0.0,5328.0,0,0,0,0.002023662586385422
43975,0,139,186,2804726,181804,2986530,296.0,0.0,38.0,8676.0,0,0,0,0.04657697112962178
44163,0,69,237,2810192,185075,2995267,188.0,0.0,0.0,5466.0,0,0,0,0.015963764600876562
44461,0,109,58,2818925,189992,3008917,298.0,0.0,40.0,8733.0,0,0,0,0.02331118323243253
44754,0,142,134,2827495,194888,3022383,293.0,0.0,33.0,8570.0,0,0,0,0.03174463392846294
45050,0,40,211,2836154,199805,3035959,296.0,0.0,0.0,8659.0,0,0,0,0.006981563398547497
45360,0,230,31,2845200,204701,3049901,310.0,0.0,190.0,9046.0,0,0,1,-0.06427562530251685
45653,0,7,108,2853714,209618,3063332,293.0,0.0,0.0,8514.0,0,0,1,-0.020298778809280438
45949,0,45,184,2862316,214514,3076830,296.0,0.0,38.0,8602.0,0,0,0,0.01975852821846036
46237,0,75,5,2870786,219431,3090217,288.0,0.0,30.0,8470.0,0,0,1,-0.008360714042290662
46539,0,117,81,2879596,224327,3103923,302.0,0.0,42.0,8810.0,0,0,0,0.02698919328620708
46834,0,154,158,2888224,229244,3117468,295.0,0.0,37.0,8628.0,0,0,0,0.030782736821170387
47132,0,192,234,2896985,234140,3131125,298.0,0.0,38.0,8761.0,0,0,0,0.03410659618227152
47438,0,64,55,2905883,239057,3144940,306.0,0.0,0.0,8898.0,0,0,1,-0.004036568560735532
47629,0,173,106,2911507,242328,3153835,191.0,0.0,109.0,5624.0,0,0,1,-0.03330035133771503
47931,0,215,182,2920346,247224,3167570,302.0,0.0,42.0,8839.0,0,0,0,0.021209712881373743
48228,0,254,3,2929104,252141,3181245,297.0,0.0,39.0,8758.0,0,0,1,-0.028329344696368164
48532,0,42,79,2937928,257037,3194965,304.0,0.0,0.0,8824.0,0,0,1,-0.008842354786031903
48832,0,82,156,2946705,261954,3208659,300.0,0.0,40.0,8777.0,0,0,0,0.029732524649199288
49114,0,106,232,2954957,266850,3221807,282.0,0.0,24.0,8252.0,0,0,0,0.02720769890893049
49306,0,40,27,2960625,270121,3230746,192.0,0.0,0.0,5668.0,0,0,1,-0.018140638703110223
49492,0,224,78,2966094,273392,3239486,186.0,0.0,184.0,5469.0,0,0,1,-0.06773956775334611
49782,0,0,155,2974564,278309,3252873,290.0,0.0,0.0,8470.0,0,0,1,-0.01612433535873181
50079,0,37,231,2983224,283205,3266429,297.0,0.0,37.0,8660.0,0,0,0,0.017635632936944035
50369,0,122,52,2991611,288122,3279733,290.0,0.0,85.0,8387.0,0,0,1,-0.01161895077090691
50665,0,105,128,3000215,293018,3293233,296.0,0.0,0.0,8604.0,0,0,0,0.014452924963538671
50963,0,128,205,3008951,297935,3306886,298.0,0.0,23.0,8736.0,0,0,0,0.040859153332807874
51165,0,89,0,3014884,301206,3316090,202.0,0.0,0.0,5933.0,0,0,1,-0.0074250834958193845
51464,0,128,76,3023591,306102,3329693,299.0,0.0,39.0,8707.0,0,0,0,0.0304235648429918
51751,0,156,153,3031991,311019,3343010,287.0,0.0,28.0,8400.0,0,0,0,0.02243846740754607
51945,0,93,204,3037608,314290,3351898,194.0,0.0,0.0,5617.0,0,0,0,0.026041618312050097
52236,0,124,24,3046098,319186,3365284,291.0,0.0,31.0,8490.0,0,0,0,0.0083241048182352
52524,0,152,101,3054463,324103,3378566,288.0,0.0,28.0,8365.0,0,0,0,0.018194846120518915
52819,0,189,177,3063136,328999,3392135,295.0,0.0,37.0,8673.0,0,0,0,0.031352072360364636
53126,0,238,254,3072107,333916,3406023,307.0,0.0,49.0,8971.0,0,0,1,-0.0011310992820866561
53425,0,21,74,3080852,338812,3419664,299.0,0.0,0.0,8745.0,0,0,1,-0.014383145438650713
53620,0,214,125,3086568,342083,3428651,195.0,0.0,193.0,5716.0,0,0,1,-0.0542086462030843
53810,0,146,176,3092093,345354,3437447,190.0,0.0,0.0,5525.0,0,0,0,0.003999327853633217
54115,0,193,253,3101130,350271,3451401,305.0,0.0,47.0,9037.0,0,0,0,0.022414688507686353
54408,0,226,73,3109684,355167,3464851,293.0,0.0,33.0,8554.0,0,0,0,0.0035353270798734737
54709,0,13,150,3118423,360084,3478507,301.0,0.0,0.0,8739.0,0,0,1,-0.011174837346614619
55011,0,55,226,3127226,364980,3492206,302.0,0.0,42.0,8803.0,0,0,0,0.03049840330778586
55209,0,251,21,3133009,368251,3501260,198.0,0.0,196.0,5783.0,0,0,1,-0.08549793435461028
55521,0,49,98,3142218,373168,3515386,312.0,0.0,0.0,9209.0,0,0,1,-0.011318027591690871
55818,0,86,174,3150945,378064,3529009,297.0,0.0,37.0,8727.0,0,0,0,0.034015763878383676
56019,0,29,225,3156779,381335,3538114,201.0,0.0,0.0,5834.0,0,0,0,0.007388080910836647
56328,0,80,46,3165755,386252,3552007,309.0,0.0,51.0,8976.0,0,0,1,-0.001261785121539294
56632,0,124,122,3174651,391148,3565799,304.0,0.0,44.0,8896.0,0,0,0,0.03403517182378968
56840,0,74,173,3180739,394419,3575158,208.0,0.0,0.0,6088.0,0,0,0,0.016124927559871716
57129,0,105,248,3189137,399206,3588343,289.0,0.0,31.0,8398.0,0,0,0,0.024716496644939467
57422,0,138,58,3197618,403452,3601070,293.0,0.0,33.0,8481.0,0,0,0,0.021052570741650567
57706,0,164,128,3205964,407914,3613878,284.0,0.0,26.0,8346.0,0,0,0,0.018876290788891747
58003,0,201,204,3214602,412810,3627412,297.0,0.0,37.0,8638.0,0,0,0,0.038234155892597155
58302,0,242,26,3223295,417792,3641087,299.0,0.0,41.0,8693.0,0,0,1,-0.012934510643037744
58614,0,38,102,3232494,422688,3655182,312.0,0.0,0.0,9199.0,0,0,1,-0.013108608108663766
58903,0,238,179,3240778,427605,3668383,289.0,0.0,200.0,8284.0,0,0,1,-0.049811526283232155
59191,0,97,255,3249225,432501,3681726,288.0,0.0,0.0,8447.0,0,0,0,0.014343514623985532
59495,0,143,76,3258202,437418,3695620,304.0,0.0,46.0,8977.0,0,0,0,0.022297714416955716
59788,0,176,78,3266750,437504,3704254,293.0,0.0,33.0,8548.0,0,0,0,0.021058600082806356
