flight,file,rows,cols,numeric_cols,null_ratio
processed_higienizado,_higienizacao_log.csv,,,,
processed_higienizado,higienizacao_log.csv,1591.0,6.0,4.0,0.180494
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-diagnostics.csv,156.0,122.0,35.0,0.008197
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-battery.csv,4171.0,16.0,16.0,0.375
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavctrl-rpy.csv,10275.0,4.0,4.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavctrl-path_dev.csv,10275.0,4.0,4.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-compass_hdg.csv,838.0,2.0,2.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-global.csv,838.0,19.0,18.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-local.csv,838.0,90.0,88.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-raw-fix.csv,1028.0,19.0,18.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-raw-gps_vel.csv,1028.0,10.0,9.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-rel_alt.csv,838.0,2.0,2.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-imu-atm_pressure.csv,2055.0,6.0,5.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-imu-data.csv,526.0,41.0,40.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-imu-data_raw.csv,2054.0,41.0,40.0,0.0
carbonZ_2018-07-18-12-10-11_no_ground_truth,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-imu-mag.csv,2054.0,16.0,15.0,0.0
