rel_path,abs_path,size_bytes,size_mb,modified,filename,parent
_reports/alfa_manifest_csv.csv,/content/gdrive/MyDrive/datasets/ALFA/processed_csv/processed/_reports/alfa_manifest_csv.csv,761557,0.726,2026-02-24T00:34:01,alfa_manifest_csv.csv,_reports
carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-diagnostics.csv,/content/gdrive/MyDrive/datasets/ALFA/processed_csv/processed/carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-diagnostics.csv,211107,0.201,2026-01-29T01:53:45,carbonZ_2018-07-18-12-10-11_no_ground_truth-diagnostics.csv,carbonZ_2018-07-18-12-10-11_no_ground_truth
carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-mavctrl-path_dev.csv,/content/gdrive/MyDrive/datasets/ALFA/processed_csv/processed/carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-mavctrl-path_dev.csv,543328,0.518,2026-01-29T01:53:46,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavctrl-path_dev.csv,carbonZ_2018-07-18-12-10-11_no_ground_truth
carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-mavctrl-rpy.csv,/content/gdrive/MyDrive/datasets/ALFA/processed_csv/processed/carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-mavctrl-rpy.csv,680698,0.649,2026-01-29T01:53:45,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavctrl-rpy.csv,carbonZ_2018-07-18-12-10-11_no_ground_truth
carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-mavlink-from.csv,/content/gdrive/MyDrive/datasets/ALFA/processed_csv/processed/carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-mavlink-from.csv,5404083,5.154,2026-01-29T01:53:45,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavlink-from.csv,carbonZ_2018-07-18-12-10-11_no_ground_truth
carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-battery.csv,/content/gdrive/MyDrive/datasets/ALFA/processed_csv/processed/carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-battery.csv,450758,0.43,2026-01-29T01:53:45,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-battery.csv,carbonZ_2018-07-18-12-10-11_no_ground_truth
carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-compass_hdg.csv,/content/gdrive/MyDrive/datasets/ALFA/processed_csv/processed/carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-compass_hdg.csv,22129,0.021,2026-01-29T01:53:46,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-compass_hdg.csv,carbonZ_2018-07-18-12-10-11_no_ground_truth
carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-global.csv,/content/gdrive/MyDrive/datasets/ALFA/processed_csv/processed/carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-global.csv,138844,0.132,2026-01-29T01:53:46,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-global.csv,carbonZ_2018-07-18-12-10-11_no_ground_truth
carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-local.csv,/content/gdrive/MyDrive/datasets/ALFA/processed_csv/processed/carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-local.csv,438390,0.418,2026-01-29T01:53:46,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-local.csv,carbonZ_2018-07-18-12-10-11_no_ground_truth
carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-raw-fix.csv,/content/gdrive/MyDrive/datasets/ALFA/processed_csv/processed/carbonZ_2018-07-18-12-10-11_no_ground_truth/carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-raw-fix.csv,170209,0.162,2026-01-29T01:53:46,carbonZ_2018-07-18-12-10-11_no_ground_truth-mavros-global_position-raw-fix.csv,carbonZ_2018-07-18-12-10-11_no_ground_truth
