pcttime,field_header_seq,field_header_stamp,field_status0_level,field_status0_name,field_status0_message,field_status0_hardware_id,field_status0_values0_key,field_status0_values0_value,field_status0_values1_key,field_status0_values1_value,field_status0_values2_key,field_status0_values2_value,field_status0_values3_key,field_status0_values3_value,field_status0_values4_key,field_status0_values4_value,field_status0_values5_key,field_status0_values5_value,field_status0_values6_key,field_status0_values6_value,field_status0_values7_key,field_status0_values7_value,field_status0_values8_key,field_status0_values8_value,field_status0_values9_key,field_status0_values9_value,field_status1_level,field_status1_name,field_status1_message,field_status1_hardware_id,field_status1_values0_key,field_status1_values0_value,field_status1_values1_key,field_status1_values1_value,field_status1_values2_key,field_status1_values2_value,field_status1_values3_key,field_status1_values3_value,field_status2_level,field_status2_name,field_status2_message,field_status2_hardware_id,field_status2_values0_key,field_status2_values0_value,field_status2_values1_key,field_status2_values1_value,field_status2_values2_key,field_status2_values2_value,field_status2_values3_key,field_status2_values3_value,field_status2_values4_key,field_status2_values4_value,field_status2_values5_key,field_status2_values5_value,field_status3_level,field_status3_name,field_status3_message,field_status3_hardware_id,field_status3_values0_key,field_status3_values0_value,field_status3_values1_key,field_status3_values1_value,field_status3_values2_key,field_status3_values2_value,field_status3_values3_key,field_status3_values3_value,field_status3_values4_key,field_status3_values4_value,field_status3_values5_key,field_status3_values5_value,field_status3_values6_key,field_status3_values6_value,field_status3_values7_key,field_status3_values7_value,field_status3_values8_key,field_status3_values8_value,field_status3_values9_key,field_status3_values9_value,field_status3_values10_key,field_status3_values10_value,field_status3_values11_key,field_status3_values11_value,field_status3_values12_key,field_status3_values12_value,field_status3_values13_key,field_status3_values13_value,field_status3_values14_key,field_status3_values14_value,field_status3_values15_key,field_status3_values15_value,field_status3_values16_key,field_status3_values16_value,field_status3_values17_key,field_status3_values17_value,field_status3_values18_key,field_status3_values18_value,field_status3_values19_key,field_status3_values19_value,field_status3_values20_key,field_status3_values20_value,field_status3_values21_key,field_status3_values21_value,field_status3_values22_key,field_status3_values22_value,field_status3_values23_key,field_status3_values23_value,field_status3_values24_key,field_status3_values24_value,field_status3_values25_key,field_status3_values25_value,field_status4_level,field_status4_name,field_status4_message,field_status4_hardware_id,field_status4_values0_key,field_status4_values0_value,field_status4_values1_key,field_status4_values1_value,field_status4_values2_key,field_status4_values2_value
1538769533786814528,406,1538769533786469920,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,24051,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,174,Tx sequence number:,190,Rx total bytes:,2368928,Tx total bytes:,354662,Rx speed:,5469.0,Tx speed:,2361.0,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,16,Fix type,4,EPH (m),0.73,EPV (m),1.02,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,519,Frequency (Hz),0.9999,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),26.3,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.0,Current,-0.0,Remaining,-1.0
1538769535291170656,407,1538769535285817728,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,24341,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,204,Tx sequence number:,9,Rx total bytes:,2377336,Tx total bytes:,359558,Rx speed:,8408.0,Tx speed:,4896.0,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,17,Fix type,4,EPH (m),0.71,EPV (m),1.01,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,521,Frequency (Hz),0.999921,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),26.7,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.0,Current,-0.0,Remaining,-1.0
1538769536788004352,408,1538769536785511584,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,24634,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,239,Tx sequence number:,86,Rx total bytes:,2385932,Tx total bytes:,364475,Rx speed:,8596.0,Tx speed:,4917.0,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,17,Fix type,4,EPH (m),0.71,EPV (m),1.01,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,522,Frequency (Hz),0.963001,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),25.2,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.0,Current,-0.0,Remaining,-1.0
1538769538285195264,409,1538769538284800000,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,24941,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,30,Tx sequence number:,162,Rx total bytes:,2394932,Tx total bytes:,369371,Rx speed:,9000.0,Tx speed:,4896.0,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,17,Fix type,4,EPH (m),0.63,EPV (m),0.95,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,524,Frequency (Hz),1.037158,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),26.7,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.0,Current,-0.0,Remaining,-1.0
1538769539285270240,410,1538769539284933856,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,25133,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,220,Tx sequence number:,213,Rx total bytes:,2400565,Tx total bytes:,372642,Rx speed:,5633.0,Tx speed:,3271.0,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,17,Fix type,4,EPH (m),0.63,EPV (m),0.95,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,525,Frequency (Hz),1.000036,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),27.3,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.0,Current,-0.0,Remaining,-1.0
1538769540285616736,411,1538769540285262304,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,25334,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,163,Tx sequence number:,8,Rx total bytes:,2406445,Tx total bytes:,375913,Rx speed:,5880.0,Tx speed:,3271.0,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,17,Fix type,4,EPH (m),0.63,EPV (m),0.95,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,526,Frequency (Hz),1.039991,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),26.8,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.0,Current,-0.0,Remaining,-1.0
1538769541785059808,412,1538769541784734080,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,25628,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,199,Tx sequence number:,85,Rx total bytes:,2415069,Tx total bytes:,380830,Rx speed:,8624.0,Tx speed:,4917.0,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,17,Fix type,4,EPH (m),0.63,EPV (m),0.95,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,527,Frequency (Hz),1.000349,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),25.6,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.0,Current,-0.0,Remaining,-1.0
1538769542786436448,413,1538769542785236960,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,25828,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,141,Tx sequence number:,136,Rx total bytes:,2420967,Tx total bytes:,384101,Rx speed:,5898.0,Tx speed:,3271.0,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,17,Fix type,4,EPH (m),0.63,EPV (m),0.95,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,528,Frequency (Hz),0.959999,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),26.1,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.0,Current,-0.0,Remaining,-1.0
1538769544286276960,414,1538769544285219136,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,26125,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,178,Tx sequence number:,212,Rx total bytes:,2429603,Tx total bytes:,388997,Rx speed:,8636.0,Tx speed:,4896.0,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,17,Fix type,4,EPH (m),0.63,EPV (m),0.95,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,530,Frequency (Hz),1.000015,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),26.4,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.0,Current,-0.0,Remaining,-1.0
1538769545288834112,415,1538769545286282432,0,mavros: FCU connection,connected,udp://127.0.0.1:14551@14555,Received packets:,26330,Dropped packets:,0,Buffer overruns:,0,Parse errors:,0,Rx sequence number:,125,Tx sequence number:,7,Rx total bytes:,2435607,Tx total bytes:,392268,Rx speed:,6004.0,Tx speed:,3271.0,0,mavros: GPS,3D fix,udp://127.0.0.1:14551@14555,Satellites visible,16,Fix type,4,EPH (m),0.65,EPV (m),0.95,0,mavros: Heartbeat,Normal,udp://127.0.0.1:14551@14555,Heartbeats since startup,531,Frequency (Hz),1.039868,Vehicle type,Fixed wing aircraft,Autopilot type,ArduPilotMega / ArduCopter,Mode,GUIDED,System status,Active,2,mavros: System,Sensor helth,udp://127.0.0.1:14551@14555,Sensor present,0x0361FC3F,Sensor enabled,0x0161FC3F,Sensor helth,0x0171FC2F,3D gyro,Ok,3D accelerometer,Ok,3D magnetometer,Ok,absolute pressure,Ok,differential pressure,Fail,GPS,Ok,3D angular rate control,Ok,attitude stabilization,Ok,yaw position,Ok,z/altitude control,Ok,x/y position control,Ok,motor outputs / control,Ok,rc receiver,Ok,AHRS subsystem health,Ok,Terrain subsystem health,Ok,Logging,Ok,CPU Load (%),26.3,Drop rate (%),0.0,Errors comm,0,Errors count #1,0,Errors count #2,0,Errors count #3,0,Errors count #4,0,1,mavros: Battery,Low voltage,udp://127.0.0.1:14551@14555,Voltage,0.0,Current,-0.0,Remaining,-1.0
